BotName Bulent
Time LocX LocY LocZ Health Shoot AltSh EnVis Jump Crouch RotPitch RotYaw Weapon ELocX ELocY ELocZ HVic WVic HTaken WTaken EName
1798 3516.54 1143.48 -270.15 199 0 0 0 0 0 514 34116 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
1814 3516.54 1143.48 -270.15 199 0 0 0 0 0 514 34116 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
1854 3512.79 1142.99 -270.15 199 0 0 0 0 0 514 34116 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
2099 3421.62 1131.14 -270.15 199 0 0 0 0 0 771 34000 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
2349 3302.99 1117.19 -270.15 199 0 0 0 0 0 1028 33952 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
2597 3177.05 1102.82 -270.15 199 0 0 0 0 0 1028 33952 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
2811 3080.56 1091.83 -270.15 199 0 0 0 0 0 771 33914 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
3057 2952.83 1078.04 -270.15 199 0 0 0 0 0 771 33838 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
3303 2841.47 1069.34 -270.15 199 0 0 0 0 0 1285 32906 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
3551 2719.88 1068.39 -270.15 199 0 0 0 0 0 1285 32720 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
3799 2598.28 1067.6 -270.15 199 0 0 0 0 0 1028 32998 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
4046 2474.99 1064.99 -270.15 199 0 0 0 0 0 1285 32998 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
4294 2355.13 1062.55 -270.15 199 0 0 0 0 0 1028 32614 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
4541 2241.51 1068.84 -270.15 199 0 0 0 0 0 0 31514 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
4789 2120.73 1083.03 -270.15 199 0 0 0 0 0 0 31552 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
5039 2001.43 1094.7 -270.15 199 0 0 0 0 0 257 31896 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
5285 1881.11 1104.83 -270.15 199 0 0 0 0 0 257 31896 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
5535 1759.93 1114.99 -270.15 199 0 0 0 0 0 257 31896 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
5786 1638.75 1125.04 -270.15 199 0 0 0 0 0 514 31934 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
WEAPON_PICKED at 5885 1541.41 1141.2 -264.0
6033 1520.97 1134.51 -270.15 199 0 0 0 0 0 514 31934 FlakCannon 0.0 0.0 0.0 1 1 0 1 NoName
6243 1413.88 1143.06 -270.15 199 0 0 0 0 0 771 32010 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
6491 1296.47 1151.74 -270.15 199 1 1 0 0 0 1028 32010 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
6738 1186.32 1159.54 -270.15 199 0 0 0 0 0 1028 32048 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
6986 1067.91 1161.24 -270.15 199 0 0 0 0 0 514 34574 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
7235 946.29 1198.86 -270.15 199 0 0 0 0 0 65298 41352 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
7488 856.71 1147.95 -270.15 199 0 0 0 0 0 65041 48110 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
7735 838.27 1019.17 -270.15 199 0 0 0 0 0 65041 48110 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
7984 820.75 898.05 -270.15 199 0 0 0 0 0 65298 46604 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
8188 798.23 813.81 -270.15 199 0 0 0 0 0 65298 46012 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
8433 710.04 732.83 -270.15 199 0 0 0 0 0 65298 45216 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
8681 591.27 688.96 -270.15 199 0 0 0 0 0 20 43890 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
8936 483.52 657.88 -270.15 199 0 0 0 0 0 20 43814 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
9134 391.25 620.88 -270.15 199 0 0 0 0 0 20 43852 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
9385 326.59 517.65 -270.15 199 0 0 0 0 0 65041 44426 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
9632 284.1 400.44 -242.45 199 0 0 0 1 0 64270 48112 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
9879 258.66 290.75 -209.4 199 0 0 0 1 0 64527 48188 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
10128 235.45 161.75 -146.05 199 0 0 0 1 0 257 49096 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
10377 221.02 43.42 -149.26 199 0 0 0 1 0 514 49196 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
10628 211.16 -84.21 -226.78 199 0 0 0 1 0 514 49196 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
10873 207.42 -203.12 -268.9 199 0 0 0 0 0 257 49522 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
11125 211.08 -322.94 -270.1 199 0 0 0 0 0 257 48656 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
11372 182.89 -439.76 -270.1 199 0 0 0 0 0 257 42964 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
11618 107.1 -535.9 -270.1 199 0 0 0 0 0 771 40266 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
11869 14.96 -613.88 -270.1 199 0 0 0 0 0 514 39940 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
12113 -68.69 -696.24 -270.1 199 0 0 0 0 0 0 44326 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
12363 -106.15 -808.62 -270.1 199 0 0 0 0 0 514 47676 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
12612 -122.29 -929.13 -259.58 199 0 0 0 0 0 1028 47936 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
12859 -136.04 -1046.06 -238.32 199 0 0 0 0 0 1028 47936 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
13108 -150.28 -1165.95 -216.52 199 0 0 0 0 0 1028 47604 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
13356 -171.32 -1283.94 -195.07 199 0 0 0 0 0 771 46744 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
13604 -180.89 -1400.44 -173.89 199 0 0 0 0 0 514 46338 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
13852 -135.19 -1511.13 -153.76 199 0 0 0 0 0 65298 42724 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
14103 -125.15 -1628.14 -142.16 199 0 0 0 0 0 65041 38332 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
14352 -172.0 -1737.78 -142.16 199 0 0 0 0 0 65041 34896 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
14598 -237.32 -1837.79 -142.16 199 0 0 0 0 0 65041 33974 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
14847 -337.75 -1914.22 -142.16 199 0 0 0 0 0 65298 27142 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
15096 -446.83 -1928.78 -142.16 199 0 0 0 0 0 65298 23472 FlakCannon 0.0 0.0 0.0 1 1 0 0 NoName
15342 -555.54 -1889.23 -142.16 199 0 0 0 0 0 65298 23434 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
15588 -616.55 -1781.77 -142.16 199 0 0 0 0 0 20 17852 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
15837 -634.13 -1672.33 -142.16 199 0 0 0 0 0 514 17738 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
16084 -647.86 -1552.81 -122.41 199 0 0 0 0 0 2313 17358 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
16331 -652.84 -1423.69 -87.2 199 1 1 0 0 0 3084 15988 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
16578 -648.84 -1309.03 -55.93 199 0 0 0 0 0 2313 16186 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
16828 -646.22 -1192.62 -24.18 199 0 0 0 0 0 2313 16186 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
17080 -636.36 -1065.16 10.58 199 0 0 0 0 0 1028 14414 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
17327 -617.09 -951.19 41.67 199 1 1 0 0 0 1028 14688 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
17576 -595.82 -826.23 50.01 199 0 0 0 0 0 1028 14500 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
17823 -574.5 -709.57 50.01 199 0 0 0 0 0 1028 14110 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
18074 -520.08 -611.27 50.01 199 0 0 0 0 0 20 4876 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
18280 -422.07 -566.32 50.01 199 0 0 0 0 0 0 2750 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
18526 -314.2 -535.66 50.01 199 0 0 0 0 0 20 2292 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
18774 -207.05 -557.87 50.01 199 0 0 0 0 0 0 64952 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
WEAPON_PICKED at 18822 -200.0 -614.0 17.3
19021 -97.83 -596.2 50.01 199 0 0 0 0 0 257 994 FlakCannon 0.0 0.0 0.0 0 1 0 1 NoName
WEAPON_PICKED at 19219 40.0 -618.0 53.0
19271 22.86 -585.83 50.01 199 0 0 0 0 0 771 1128 FlakCannon 0.0 0.0 0.0 0 1 0 1 NoName
19521 143.2 -576.27 50.01 199 0 0 0 0 0 514 600 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
WEAPON_PICKED at 19715 248.0 -612.0 17.3
19767 262.96 -577.18 50.01 199 0 0 0 0 0 514 172 FlakCannon 0.0 0.0 0.0 0 1 0 1 NoName
20020 375.39 -586.06 50.01 199 0 0 0 0 0 65298 8354 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
20267 484.13 -529.67 50.01 199 0 0 0 0 0 65041 7988 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
20513 593.64 -523.01 50.01 199 0 0 0 0 0 20 8726 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
20760 673.52 -432.97 50.01 199 0 0 0 0 0 257 11760 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
21008 723.83 -324.68 50.01 199 0 0 0 0 0 257 12352 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
21257 766.94 -203.26 50.01 199 0 0 0 0 0 257 13362 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
21505 800.54 -98.73 50.01 199 0 0 0 0 0 257 13438 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
21752 857.92 1.62 50.01 199 0 0 0 0 0 20 19254 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
22000 823.74 118.78 50.01 199 0 0 0 0 0 65298 20272 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
22246 779.93 232.21 50.01 199 0 0 0 0 0 65298 19504 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
22497 757.03 347.7 50.01 199 0 0 0 0 0 20 16922 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
22744 751.82 468.75 50.01 199 0 0 0 0 0 20 16560 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
22992 749.79 586.03 50.01 199 0 0 0 0 0 20 16522 FlakCannon 0.0 0.0 0.0 1 1 0 0 NoName
23239 748.24 703.33 50.01 199 0 0 0 0 0 20 16484 FlakCannon 0.0 0.0 0.0 1 1 0 0 NoName
23487 752.14 832.5 50.01 199 0 0 0 0 0 20 15208 FlakCannon 0.0 0.0 0.0 1 1 0 0 NoName
23735 764.24 949.61 50.01 199 0 0 0 0 0 20 15120 FlakCannon 0.0 0.0 0.0 1 1 0 0 NoName
23982 790.66 1063.44 50.01 199 0 0 0 0 0 64270 10760 FlakCannon 0.0 0.0 0.0 1 1 0 0 NoName
24228 862.56 1154.69 50.01 199 0 0 0 0 0 63242 5660 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
24476 970.41 1202.67 49.9 199 0 0 0 0 0 62213 1340 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
24728 1088.59 1213.71 42.56 199 0 0 0 0 0 60671 64594 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
24975 1217.29 1215.73 -36.28 199 0 0 0 0 0 60671 64398 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
25223 1339.38 1211.62 -183.52 199 0 0 0 0 0 64527 63876 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
25471 1460.02 1199.24 -270.15 199 0 0 0 0 0 65298 63800 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
25718 1579.21 1179.99 -270.15 199 0 0 0 0 0 257 64310 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
25969 1700.01 1166.02 -270.15 199 0 0 0 0 0 514 64432 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
26183 1805.12 1154.83 -270.15 199 0 0 0 0 0 514 64432 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
26433 1921.21 1141.41 -270.15 199 0 0 0 0 0 771 63922 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
26684 2038.36 1109.92 -270.15 199 0 0 0 0 0 1028 58666 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
26928 2123.58 1025.87 -270.15 199 0 0 0 0 0 1542 55252 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
27176 2190.48 925.38 -270.15 199 0 0 0 0 0 1542 54402 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
