BotName Jack
Time LocX LocY LocZ Health DistToEnemy Shooting AltShooting EnemyVisibility Jumping Crouching
1721 1985.31 -326.99 -79.1 130 34.2 false false true false false
1721 1985.31 -326.99 -79.1 130 34.2 false false true false false
1775 1992.77 -318.08 -79.1 130 45.67 false false true false false
1821 2013.42 -290.91 -79.1 130 79.72 false false true false false
1858 2020.8 -269.41 -79.1 130 101.82 false false false false false
1913 2025.53 -246.66 -79.1 130 124 false false false false false
1960 2028.78 -224.15 -79.1 130 145.68 false false false false false
2033 2031.37 -201.07 -75.15 130 167.96 false false false false false
2069 2033.57 -178.43 -75.15 130 189.88 false false false false false
2124 2035.59 -155.77 -75.15 130 211.94 false false false false false
2155 2037.52 -133.11 -75.15 130 234.1 false false false false false
2205 2040.33 -99.34 -78.1 130 267.27 false false false false false
2258 2042.19 -76.67 -78.1 130 289.64 false false false false false
2302 2044.09 -53.51 -78.1 130 312.55 false false false false false
2354 2045.94 -30.84 -78.1 130 335.01 false false false false false
2411 2047.78 -8.16 -78.1 130 357.52 false false false false false
2452 2049.14 15.02 -78.1 130 380.44 false false false false false
2504 2048.31 37.74 -78.1 130 402.51 false false false false false
2549 2043.28 60.39 -78.1 130 423.82 false false false false false
2606 2033.85 81.06 -78.1 130 442.69 false false false false false
2653 2012.73 108.04 -78.1 130 466.92 false false false false false
2736 1994.95 123.0 -78.1 130 480.51 false false false false false
2766 1976.09 135.7 -78.1 130 492.54 false false false false false
2821 1964.93 142.92 -78.1 130 499.71 false false false false false
2868 1959.61 146.36 -78.1 130 503.22 false false false false false
2928 1958.53 147.06 -78.1 130 503.94 false false false false false
2993 1958.27 147.22 -78.1 130 504.11 false false false false false
3066 1958.27 147.22 -78.1 130 504.11 false false false false false
3114 1958.27 147.22 -78.1 130 504.11 false false false false false
3176 1958.27 147.22 -78.1 130 504.11 false false false false false
3234 1958.27 147.22 -78.1 130 504.11 false false false false false
3295 1958.27 147.22 -78.1 130 504.11 false false false false false
3351 1958.27 147.22 -78.1 130 504.11 false false false false false
3400 1958.27 147.22 -78.1 130 504.11 false false false false false
3437 1958.27 147.22 -78.1 130 504.11 false false false false false
3480 1958.27 147.22 -78.1 130 504.11 false false false false false
3532 1958.27 147.22 -78.1 130 504.11 false false false false false
3582 1958.27 147.22 -78.1 130 504.11 false false false false false
3634 1958.27 147.22 -78.1 130 504.11 false false false false false
3683 1958.27 147.22 -78.1 130 504.11 false false false false false
3748 1958.27 147.22 -78.1 130 504.11 false false false false false
3797 1958.27 147.22 -78.1 130 504.11 false false false false false
3849 1958.27 147.22 -78.1 130 504.11 false false false false false
3897 1958.27 147.22 -78.1 130 504.11 false false false false false
3953 1958.27 147.22 -78.1 130 504.11 false false false false false
3997 1958.27 147.22 -78.1 130 504.11 false false false false false
4052 1958.27 147.22 -78.1 130 504.11 false false false false false
4111 1958.27 147.22 -78.1 130 504.11 false false false false false
4166 1958.27 147.22 -78.1 130 504.11 false false false false false
4213 1958.27 147.22 -78.1 130 504.11 false false false false false
4283 1958.27 147.22 -78.1 130 504.11 false false false false false
4330 1958.27 147.22 -78.1 130 504.11 false false false false false
4384 1958.27 147.22 -78.1 130 504.11 false false false false false
4420 1958.27 147.22 -78.1 130 504.11 false false false false false
4489 1958.27 147.22 -78.1 130 504.11 false false false false false
4544 1958.27 147.22 -78.1 130 504.11 false false false false false
4596 1958.27 147.22 -78.1 130 504.11 false false false false false
4645 1958.27 147.22 -78.1 130 504.11 false false false false false
4688 1958.27 147.22 -78.1 130 504.11 false false false false false
4761 1958.27 147.22 -78.1 130 504.11 false false false false false
4821 1958.27 147.22 -78.1 130 504.11 false false false false false
4867 1958.27 147.22 -78.1 130 504.11 false false false false false
4927 1958.27 147.22 -78.1 130 504.11 false false false false false
4967 1958.27 147.22 -78.1 130 504.11 false false false false false
5017 1958.27 147.22 -78.1 130 504.11 false false false false false
5069 1958.27 147.22 -78.1 130 504.11 false false false false false
5125 1958.27 147.22 -78.1 130 504.11 false false false false false
5177 1958.27 147.22 -78.1 130 504.11 false false false false false
5226 1958.27 147.22 -78.1 130 504.11 false false false false false
5284 1958.27 147.22 -78.1 130 504.11 false false false false false
5327 1958.27 147.22 -78.1 130 504.11 false false false false false
5385 1958.27 147.22 -78.1 130 504.11 false false false false false
5436 1958.27 147.22 -78.1 130 504.11 false false false false false
5485 1958.27 147.22 -78.1 130 504.11 false false false false false
5540 1958.27 147.22 -78.1 130 504.11 false false false false false
5592 1958.27 147.22 -78.1 130 504.11 false false false false false
5647 1958.27 147.22 -78.1 130 504.11 false false false false false
5700 1958.27 147.22 -78.1 130 504.11 false false false false false
5777 1958.27 147.22 -78.1 130 504.11 false false false false false
5835 1958.27 147.22 -78.1 130 504.11 false false false false false
5884 1958.27 147.22 -78.1 130 504.11 false false false false false
5931 1958.27 147.22 -78.1 130 504.11 false false false false false
5975 1958.27 147.22 -78.1 130 504.11 false false false false false
6029 1958.27 147.22 -78.1 130 504.11 false false false false false
6075 1958.27 147.22 -78.1 130 504.11 false false false false false
6125 1958.27 147.22 -78.1 130 504.11 false false false false false
6188 1958.27 147.22 -78.1 130 504.11 false false false false false
6243 1958.27 147.22 -78.1 130 504.11 false false false false false
6290 1958.27 147.22 -78.1 130 504.11 false false false false false
6338 1958.27 147.22 -78.1 130 504.11 false false false false false
6395 1958.27 147.22 -78.1 130 504.11 false false false false false
6442 1958.27 147.22 -78.1 130 504.11 false false false false false
6499 1958.27 147.22 -78.1 130 504.11 false false false false false
6550 1958.27 147.22 -78.1 130 504.11 false false false false false
6602 1958.27 147.22 -78.1 130 504.11 false false false false false
6653 1958.27 147.22 -78.1 130 504.11 false false false false false
6701 1958.27 147.22 -78.1 130 504.11 false false false false false
6742 1958.27 147.22 -78.1 130 504.11 false false false false false
6794 1958.27 147.22 -78.1 130 504.11 false false false false false
6851 1958.27 147.22 -78.1 130 504.11 false false false false false
6905 1958.27 147.22 -78.1 130 504.11 false false false false false
6951 1958.27 147.22 -78.1 130 504.11 false false false false false
6998 1958.27 147.22 -78.1 130 504.11 false false false false false
7054 1958.27 147.22 -78.1 130 504.11 false false false false false
7100 1958.27 147.22 -78.1 130 504.11 false false false false false
7160 1958.27 147.22 -78.1 130 504.11 false false false false false
7212 1958.27 147.22 -78.1 130 504.11 false false false false false
7261 1958.27 147.22 -78.1 130 504.11 false false false false false
7314 1958.27 147.22 -78.1 130 504.11 false false false false false
7358 1958.27 147.22 -78.1 130 504.11 false false false false false
7416 1958.27 147.22 -78.1 130 504.11 false false false false false
7463 1958.27 147.22 -78.1 130 504.11 false false false false false
7513 1958.27 147.22 -78.1 130 504.11 false false false false false
7554 1958.27 147.22 -78.1 130 504.11 false false false false false
7611 1958.27 147.22 -78.1 130 504.11 false false false false false
7664 1958.27 147.22 -78.1 130 504.11 false false false false false
7705 1958.27 147.22 -78.1 130 504.11 false false false false false
7749 1958.27 147.22 -78.1 130 504.11 false false false false false
7815 1958.27 147.22 -78.1 130 504.11 false false false false false
7852 1958.27 147.22 -78.1 130 504.11 false false false false false
7912 1958.27 147.22 -78.1 130 504.11 false false false false false
7987 1958.27 147.22 -78.1 130 504.11 false false false false false
8025 1958.27 147.22 -78.1 130 504.11 false false false false false
8058 1958.27 147.22 -78.1 130 504.11 false false false false false
8105 1958.27 147.22 -78.1 130 504.11 false false false false false
8166 1958.27 147.22 -78.1 130 504.11 false false false false false
8216 1958.27 147.22 -78.1 130 504.11 false false false false false
8265 1958.27 147.22 -78.1 130 504.11 false false false false false
8346 1958.27 147.22 -78.1 130 504.11 false false false false false
8398 1958.27 147.22 -78.1 130 504.11 false false false false false
8451 1958.27 147.22 -78.1 130 504.11 false false false false false
8493 1958.27 147.22 -78.1 130 504.11 false false false false false
8547 1958.27 147.22 -78.1 130 504.11 false false false false false
8608 1958.27 147.22 -78.1 130 504.11 false false false false false
8651 1958.27 147.22 -78.1 130 504.11 false false false false false
8696 1958.27 147.22 -78.1 130 504.11 false false false false false
8745 1958.27 147.22 -78.1 130 504.11 false false false false false
8815 1958.27 147.22 -78.1 130 504.11 false false false false false
8869 1958.27 147.22 -78.1 130 504.11 false false false false false
8925 1958.27 147.22 -78.1 130 504.11 false false false false false
8971 1958.27 147.22 -78.1 130 504.11 false false false false false
9032 1958.27 147.22 -78.1 130 504.11 false false false false false
9072 1958.27 147.22 -78.1 130 504.11 false false false false false
9128 1958.27 147.22 -78.1 130 504.11 false false false false false
9176 1958.27 147.22 -78.1 130 504.11 false false false false false
9237 1958.27 147.22 -78.1 130 504.11 false false false false false
9292 1958.27 147.22 -78.1 130 504.11 false false false false false
9326 1958.27 147.22 -78.1 130 504.11 false false false false false
9370 1958.27 147.22 -78.1 130 504.11 false false false false false
9431 1958.27 147.22 -78.1 130 504.11 false false false false false
9485 1958.27 147.22 -78.1 130 504.11 false false false false false
9532 1958.27 147.22 -78.1 130 504.11 false false false false false
9582 1958.27 147.22 -78.1 130 504.11 false false false false false
9631 1958.27 147.22 -78.1 130 504.11 false false false false false
9683 1958.27 147.22 -78.1 130 504.11 false false false false false
9733 1958.27 147.22 -78.1 130 504.11 false false false false false
9783 1958.27 147.22 -78.1 130 504.11 false false false false false
9833 1958.27 147.22 -78.1 130 504.11 false false false false false
9890 1958.27 147.22 -78.1 130 504.11 false false false false false
9924 1958.27 147.22 -78.1 130 504.11 false false false false false
9976 1958.27 147.22 -78.1 130 504.11 false false false false false
10031 1958.27 147.22 -78.1 130 504.11 false false false false false
10082 1958.27 147.22 -78.1 130 504.11 false false false false false
10139 1958.27 147.22 -78.1 130 504.11 false false false false false
10184 1958.27 147.22 -78.1 130 504.11 false false false false false
10252 1958.27 147.22 -78.1 130 504.11 false false false false false
10299 1958.27 147.22 -78.1 130 504.11 false false false false false
10353 1958.27 147.22 -78.1 130 504.11 false false false false false
10399 1958.27 147.22 -78.1 130 504.11 false false false false false
10446 1958.27 147.22 -78.1 130 504.11 false false false false false
10496 1958.27 147.22 -78.1 130 504.11 false false false false false
10563 1958.27 147.22 -78.1 130 504.11 false false false false false
10625 1958.27 147.22 -78.1 130 504.11 false false false false false
10667 1958.27 147.22 -78.1 130 504.11 false false false false false
10725 1958.27 147.22 -78.1 130 504.11 false false false false false
10765 1958.27 147.22 -78.1 130 504.11 false false false false false
10842 1958.27 147.22 -78.1 130 504.11 false false false false false
10896 1958.27 147.22 -78.1 130 504.11 false false false false false
10947 1958.27 147.22 -78.1 130 504.11 false false false false false
10996 1958.27 147.22 -78.1 130 504.11 false false false false false
11044 1958.27 147.22 -78.1 130 504.11 false false false false false
11093 1958.27 147.22 -78.1 130 504.11 false false false false false
11133 1958.27 147.22 -78.1 130 504.11 false false false false false
11188 1958.27 147.22 -78.1 130 504.11 false false false false false
11250 1958.27 147.22 -78.1 130 504.11 false false false false false
11284 1958.27 147.22 -78.1 130 504.11 false false false false false
11335 1958.27 147.22 -78.1 130 504.11 false false false false false
11395 1958.27 147.22 -78.1 130 504.11 false false false false false
11433 1958.27 147.22 -78.1 130 504.11 false false false false false
11488 1958.27 147.22 -78.1 130 504.11 false false false false false
11541 1958.27 147.22 -78.1 130 504.11 false false false false false
11591 1958.27 147.22 -78.1 130 504.11 false false false false false
11648 1958.27 147.22 -78.1 130 504.11 false false false false false
