BotName Bulent
Time LocX LocY LocZ Health DistToEnemy Shooting AltShooting EnemyVisibility Jumping Crouching
1856 1249.86 485.18 -78.15 100 2655.61 false false true false false
1856 1249.86 485.18 -78.15 100 2655.61 false false true false false
1907 1249.86 485.18 -78.15 100 2655.61 false false true false false
1959 1249.86 485.18 -78.15 100 2655.61 false false true false false
2000 1249.86 485.18 -78.15 100 2655.61 false false false false false
2050 1249.86 485.18 -78.15 100 2655.61 false false false false false
2098 1249.86 485.18 -78.15 100 2655.61 false false false false false
2151 1249.86 485.18 -78.15 100 2655.61 false false false false false
2203 1249.86 485.18 -78.15 100 2655.61 false false false false false
2248 1249.86 485.18 -78.15 100 2655.61 false false false false false
2297 1249.86 485.18 -78.15 100 2655.61 false false false false false
2348 1249.86 485.18 -78.15 100 2655.61 false false false false false
2399 1249.86 485.18 -78.15 100 2655.61 false false false false false
2447 1249.86 485.18 -78.15 100 2655.61 false false false false false
2496 1249.86 485.18 -78.15 100 2655.61 false false false false false
2546 1249.86 485.18 -78.15 100 2655.61 false false false false false
2601 1249.86 485.18 -78.15 100 2655.61 false false false false false
2651 1249.86 485.18 -78.15 100 2655.61 false false false false false
2736 1255.15 485.42 -78.15 100 2652.35 false false false false false
2786 1275.55 486.33 -78.15 100 2639.79 false false false false false
2871 1313.47 487.96 -78.15 100 2616.66 false false false false false
2921 1335.24 488.79 -78.15 100 2603.46 false false false false false
2976 1371.52 489.99 -78.15 100 2581.58 false false false false false
3029 1392.8 490.66 -78.15 100 2568.87 false false false false false
3128 1444.08 492.34 -78.15 100 2538.76 false false false false false
3207 1475.05 492.8 -78.15 100 2520.47 false false false false false
3255 1500.22 492.75 -78.15 100 2505.44 false false false false false
3339 1542.31 491.55 -78.15 100 2479.77 false false false false false
3424 1584.8 488.72 -78.15 100 2452.99 false false false false false
3507 1616.61 485.71 -78.15 100 2432.5 false false false false false
3589 1662.79 480.64 -78.15 100 2402.61 false false false false false
3670 1695.98 476.94 -78.15 100 2381.41 false false false false false
3730 1720.86 473.13 -78.15 100 2364.82 false false false false false
3769 1740.86 467.4 -78.15 100 2349.34 false false false false false
3827 1770.48 450.95 -78.15 100 2319.77 false false false false false
3867 1770.48 450.95 -78.15 100 2319.77 false false false false false
3916 1770.48 450.95 -78.15 100 2319.77 false false false false false
3966 1813.85 408.76 -78.15 100 2261.17 false false false false false
4016 1813.85 408.76 -78.15 100 2261.17 false false false false false
4071 1854.32 370.56 -78.15 100 2207.59 false false false false false
4118 1874.01 352.08 -78.15 100 2181.65 false false false false false
4179 1891.98 340.65 -78.15 100 2162.69 false false false false false
4235 1910.69 328.58 -78.15 100 2142.85 false false false false false
4298 1938.04 309.42 -78.15 100 2112.62 false false false false false
4356 1959.03 284.73 -78.15 100 2080.78 false false false false false
4403 1965.8 266.08 -78.15 100 2061.22 false false false false false
4474 1975.03 223.02 -78.15 100 2019.26 false false false false false
4529 1977.25 210.63 -78.15 100 2007.42 false false false false false
4582 1981.54 182.89 -78.15 100 1981.3 false false false false false
4641 1985.34 148.25 -78.15 100 1949.55 false false false false false
4694 1987.0 128.47 -78.15 100 1415 false false true false false
4750 1988.38 110.62 -78.15 100 1387.49 false false true false false
4802 1990.66 78.27 -78.15 100 1346.02 false false true false false
4861 1992.63 48.33 -78.15 100 1301.89 false false true false false
4914 1994.08 14.96 -78.15 100 1258.73 false false true false false
4970 1994.45 -10.2 -78.15 100 1223.52 false false true false false
5022 1994.41 -28.11 -78.15 100 1194.69 false false true false false
5087 1994.01 -63.92 -78.15 100 1148.11 false false true false false
5141 1993.57 -92.96 -78.15 100 1102.12 false false true false false
5197 1993.23 -113.28 -78.15 100 1070.41 false false true false false
5272 1992.39 -151.51 -75.15 100 1021.16 false false true false false
5329 1990.56 -182.92 -75.15 100 967.5 false false true false false
5381 1987.7 -215.7 -75.15 100 904.49 false false true false false
5434 1987.0 -223.41 -75.15 100 875.47 false false true false false
5488 1986.33 -230.76 -79.1 100 846.02 false false true false false
5536 1986.15 -232.69 -79.1 100 822.3 false false true false false
5584 1986.12 -233.01 -79.1 100 799.67 false false true false false
5646 1986.12 -233.01 -79.1 100 777.69 false false true false false
5694 1986.12 -233.01 -79.1 100 743.88 false false true false false
5744 1986.12 -233.01 -79.1 100 722.18 false false true false false
5796 1985.58 -244.98 -79.1 100 689.37 false false true false false
5845 1985.35 -253.15 -79.1 100 658.14 false false true false false
5909 1984.58 -283.27 -79.1 100 617.11 false false true false false
